,University,Type,City,Website,Address,Credential Type,Email,Fax,Joint Credential Type,Joint Program Level,Program Level,Telephone,Toll Free
21,ABM College of Health and Technology,Accounting and Payroll,"Calgary, Alberta",http://abmcollege.com/program/accounting-and-payroll/,"Calgary Campus, ALBERTA3880 29 Street Northeast, Suite 200 Calgary, Alberta T1Y 6B6Canada",Diploma,info@ABMCollege.com ,(403) 910-0737,Unknown,Not entered,College or CEGEP postsecondary program,(403) 719-4300,
22,Reeves College,Accounting and Payroll Administration,"Lloydminster, Alberta",http://www.reevescollege.ca/programs-and-courses/accounting-payroll-administration/,"Reeves College103-5704 44th StLloydminster, Alberta T9V 2A1Canada",Diploma,Vanessa.Knot@reevescollege.ca,(780) 875-9209,Not entered,Not entered,College or CEGEP postsecondary program,(780) 875-3308,1-800-670-4512
23,CDI College,Accounting and Payroll Administrator,"Abbotsford, Columbia",http://www.cdicollege.ca/programs-and-courses/accounting-and-payroll-administration-ab/,"CDI College - Abbotsford Campus31838 South Fraser WayAbbotsford, British Columbia V2T 1V3Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-800-675-4392
24,Evergreen College,Accounting and Payroll Administrator,"Calgary, Alberta",http://www.evergreencollege.ca/accounting-and-payroll-assistant-diploma-program/?&edit=1,"Calgary1-3516 26th Street NECalgary, Alberta T1Y 4T7Canada",Diploma,,(403) 4576410,Not entered,Not entered,College unknown level,(403) 4576400,
25,Grant MacEwan University,Accounting and Strategic Measurement Diploma,"Edmonton, Alberta",http://www.macewan.ca/wcm/SchoolsFaculties/Business/Programs/AccountingandStrategicMeasurement/index.htm,"Grant MacEwan University10700 - 104 AvenueEdmonton, Alberta T5J 4S2Canada",Diploma,info@macewan.ca,(708) 497-5001,Not entered,Not entered,College or CEGEP postsecondary program,(708) 497-5040,1-888-497-4622
26,Robertson College,Accounting Assistant,"Winnipeg, Manitoba",http://www.robertsoncollege.com/programs/business/accounting-assistant/,"Robertson College - Winnipeg265 Notre Dame AvenueWinnipeg, Manitoba R3B 1N9Canada",Diploma,info@robertsoncollege.com,(204) 926-8320,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(204) 926-8389,1-888-892-5262
27,Columbia College (Alberta),Accounting Assistant Professional Certificate,"Calgary, Alberta",http://www.columbia.ab.ca/programs-courses/professional-programs/accounting-assistant-professional/,"Columbia College802 Manning Road NECalgary, Alberta T2E 7N8Canada",Certificate,columbia@columbia.ab.ca,(403) 272-3805,Unknown,Not entered,College or CEGEP postsecondary program,(403) 235-9300,1-888-235-9370
28,CDI College,Accounting Assistant/Bookkeeper,"Abbotsford, Columbia",http://www.cdicollege.ca/programs-and-courses/accounting-assistant-bookkeeper-ontario/,"CDI College - Abbotsford Campus31838 South Fraser WayAbbotsford, British Columbia V2T 1V3Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-800-675-4392
29,University of Calgary ,Accounting (B.Comm.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/accounting,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
30,Lakeland College,Accounting Major,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/business/programs-and-courses/accounting-major/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Diploma,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
31,Robertson College,Accounting Specialist,"Winnipeg, Manitoba",http://www.robertsoncollege.com/programs/business/accounting-specialist/,"Robertson College - Winnipeg265 Notre Dame AvenueWinnipeg, Manitoba R3B 1N9Canada",Diploma,info@robertsoncollege.com,(204) 926-8320,Not entered,Not entered,College or CEGEP University Transfer program,(204) 926-8389,1-888-892-5262
32,Lakeland College,Accounting Technician,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/business/programs-and-courses/accounting-tech/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Certificate,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
33,NorQuest College,Accounting Technician,"Edmonton, Alberta",http://www.norquest.ca/cal/current/program/accounting-technician/,"NorQuest CollegeDowntown Campus, Main BuildingEdmonton, Alberta T5J 1L6Canada",Certificate,info@norquest.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 644-6000,
34,Portage College,Accounting Technician,"Lac, Alberta",http://www.portagecollege.ca/Programs/Business/Accounting-Technician,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Certificate,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-866-623-5551
35,Reeves College,Accounting Technician,"Lloydminster, Alberta",http://www.reevescollege.ca/programs-and-courses/accounting-technician/,"Reeves College103-5704 44th StLloydminster, Alberta T9V 2A1Canada",Diploma,Vanessa.Knot@reevescollege.ca,(780) 875-9209,Not entered,Not entered,College or CEGEP postsecondary program,(780) 875-3308,1-800-670-4512
36,University of Calgary ,Actuarial Science (B.Sc.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/actuarial-science,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
37,Grant MacEwan University,Acupuncture,"Edmonton, Alberta",http://www.macewan.ca/wcm/SchoolsFaculties/HCS/Programs/Acupuncture/index.htm,"Grant MacEwan University10700 - 104 AvenueEdmonton, Alberta T5J 4S2Canada",Diploma,info@macewan.ca,(708) 497-5001,Not entered,Not entered,College or CEGEP postsecondary program,(708) 497-5040,1-888-497-4622
38,Reeves College,Acupuncture,"Lloydminster, Alberta",http://www.reevescollege.ca/programs-and-courses/acupuncture/,"Reeves College103-5704 44th StLloydminster, Alberta T9V 2A1Canada",Diploma,Vanessa.Knot@reevescollege.ca,(780) 875-9209,Unknown,Not entered,College or CEGEP postsecondary program,(780) 875-3308,1-800-670-4512
39,Calgary College of Traditional Chinese Medicine and Acupuncture,Acupuncture Diploma,"Calgary, Alberta",http://www.cctcma.com/programs/acupuncture-diploma/,"Calgary College of Traditional Chinese Medicine and Acupuncture107 and 217, 4014 Macleod Trail, SouthCalgary, Alberta T2G 2R7Canada",Diploma, info@cctcma.com,(403) 287-8660,Unknown,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 287-8688,1-866-676-8688
40,Canadian Institute of Traditional Chinese Medicine,Acupuncture Diploma Program,"Calgary, Alberta",http://citcm.com/acupuncture/citcm-programs/,"Canadian Institute of Traditional Chinese Medicine138 17th Ave NECalgary, Alberta T2E 1L6Canada",Diploma,info@citcm.com,(866) 428-2909,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 520-5258,1-888-859-8686
41,Alberta College of Acupuncture & Traditional Chinese Medicine,Acupuncture Program,"Calgary, Alberta",http://www.acatcm.com/doctor-of-acupuncture/diploma-in-acupuncture,"Alberta College of Acupuncture & Traditional Chinese MedicineMarket Mall Professional Centre Calgary, Alberta T3A 2N1Canada",Diploma,info@acatcm.com ,,Not entered,Not entered,College unknown level,(403) 286-8788 ,1-888-789-9984
42,Northern Lakes College,Addiction Services Worker (Certificate) Program,"Slave, Alberta",https://www.northernlakescollege.ca/programs-courses/programs#/programs/1223,"Northern Lakes College - Slave Lake Campus1201 Main Street SE     Slave Lake, Alberta T0G 2A0Canada",Certificate,,(780) 849-2570,Not entered,Not entered,College or CEGEP postsecondary program,(780) 849-8600,
43,CDI College,Addictions and Community Services Worker,"Abbotsford, Columbia",http://www.cdicollege.ca/programs-and-courses/addictions-and-community-services-worker-ontario/,"CDI College - Abbotsford Campus31838 South Fraser WayAbbotsford, British Columbia V2T 1V3Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-800-675-4392
44,Reeves College,Addictions and Community Services Worker,"Lloydminster, Alberta",http://www.reevescollege.ab.ca/community-health-care.cfm,"Reeves College103-5704 44th StLloydminster, Alberta T9V 2A1Canada",Diploma,Vanessa.Knot@reevescollege.ca,(780) 875-9209,Not entered,Not entered,College or CEGEP postsecondary program,(780) 875-3308,1-800-670-4512
45,Medicine Hat College,Addictions Counselling / Social Work,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Addictions%20Counselling_Social%20Work.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Diploma,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College or CEGEP postsecondary program,(403) 529-3811,1-866-282-8394
46,Medicine Hat College,Addictions Counselling (Diploma),"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Addictions%20Counselling.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Diploma,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College or CEGEP postsecondary program,(403) 529-3811,1-866-282-8394
47,Bow Valley College,Addictions Studies - Aboriginal Focus Certificate,"Calgary, Alberta",http://www.bowvalleycollege.ca/programs-and-courses/human-services/aboriginal-addictions-services-counselling-certificate.html,"North and South Campus345-6 Avenue SECalgary, Alberta T2G 4V1Canada",Certificate,info@bowvalleycollege.ca,,Unknown,University Graduate unknown level,College unknown level,(403) 410-1400,1-866-428-2669
48,Bow Valley College,Addictions Studies - Aboriginal Focus Diploma,"Calgary, Alberta",http://www.bowvalleycollege.ca/programs-and-courses/human-services/aboriginal-addictions-services-counselling-diploma.html,"North and South Campus345-6 Avenue SECalgary, Alberta T2G 4V1Canada",Diploma,info@bowvalleycollege.ca,,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(403) 410-1400,1-866-428-2669
49,Academy of Learning,Administrative Assistant,"Medicine, Alberta",http://www.academyoflearning.com/ab/administrative-assistant,"Academy of Learning115 3030 13 AveMedicine Hat, Alberta T1B 1E3Canada",Diploma,medicinehat@academyoflearning.ab.ca ,,Not entered,Not entered,College or CEGEP postsecondary program,(403) 526-5833,1-855-978-3988
50,Maskwacis Cultural College,Administrative Assistant Certificate,"Maskwacis, Alberta",http://www.maskwachees.ca/maa.htm,"Maskwacis Cultural College Box 360Maskwacis, Alberta T0C 1N0Canada",Certificate,gfleury@mccedu.ca ,(780) 585-2080,Not entered,Not entered,College or CEGEP postsecondary program,,1-866-585-3925
51,Columbia College (Alberta),Administrative Assistant Professional Certificate,"Calgary, Alberta",http://www.columbia.ab.ca/programs-courses/professional-programs/administrative-assistant-professional-certificate/,"Columbia College802 Manning Road NECalgary, Alberta T2E 7N8Canada",Certificate,columbia@columbia.ab.ca,(403) 272-3805,Unknown,University Graduate unknown level,College or CEGEP University Transfer program,(403) 235-9300,1-888-235-9370
52,Southern Alberta Institute of Technology (SAIT),Administrative Information Management,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/full-time-studies/diplomas/administrative-information-management-course-overview.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Diploma,advising@sait.ca,(403) 284-7112,Not entered,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
53,Cambrooks College Inc.,Administrative Office Management,"Calgary, Alberta",http://www.cambrooks.ca/administrative-office-management/,"Cambrooks College202, 4015 - 17 Avenue SECalgary, Alberta T2A 0S8Canada",Diploma,info@cambrooks.ca,(403) 452-6111,Not entered,Not entered,College or CEGEP postsecondary program,(403) 452-3694,
54,Medicine Hat College,Administrative Office Management,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Administrative%20Office%20Management.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Diploma,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College or CEGEP postsecondary program,(403) 529-3811,1-866-282-8394
55,Lethbridge College,Administrative Office Professional,"Lethbridge, Alberta",http://www.lethbridgecollege.ca/program/administrative-office-professional,"Lethbridge College3000 College Drive SouthLethbridge, Alberta T1K 1L6Canada",Certificate, info@lethbridgecollege.ca,,Unknown,Not entered,College or CEGEP postsecondary program,(403) 320-3200,1-800-572-0103
56,Medicine Hat College,Administrative Office Professional,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Administrative%20Office%20Professional.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Certificate,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College or CEGEP postsecondary program,(403) 529-3811,1-866-282-8394
57,NorQuest College,Administrative Professional,"Edmonton, Alberta",http://www.norquest.ca/cal/current/program/administrative-professional-certificate/,"NorQuest CollegeDowntown Campus, Main BuildingEdmonton, Alberta T5J 1L6Canada",Certificate,info@norquest.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 644-6000,
58,Robertson College,Administrative Professional,"Winnipeg, Manitoba",http://www.robertsoncollege.com/programs/business/administrative-professional/,"Robertson College - Winnipeg265 Notre Dame AvenueWinnipeg, Manitoba R3B 1N9Canada",Diploma,info@robertsoncollege.com,(204) 926-8320,Not entered,Not entered,College or CEGEP postsecondary program,(204) 926-8389,1-888-892-5262
59,Robertson College,Administrative Professional / Bookkeeper,"Winnipeg, Manitoba",http://www.robertsoncollege.com/programs/business/administrative-professional-bookkeeper/,"Robertson College - Winnipeg265 Notre Dame AvenueWinnipeg, Manitoba R3B 1N9Canada",Diploma,info@robertsoncollege.com,(204) 926-8320,Not entered,Not entered,College or CEGEP University Transfer program,(204) 926-8389,1-888-892-5262
60,Red Deer College,"Administrative Professional, Certificate","Red, Alberta",http://rdc.ab.ca/programs/administrative-professional-certificate,"Red Deer College100 College Boulevard Red Deer, Alberta T4N 5H5Canada",Certificate,inquire@rdc.ab.ca ,(403) 357-3660,Not entered,Not entered,College or CEGEP postsecondary program,(403) 342-3400,1-888-732-4630
61,Bow Valley College,Administrative Professional Certificate,"Calgary, Alberta",http://www.bowvalleycollege.ca/programs-and-courses/chiu-school-of-business/certificate-programs/administrative-professional-certificate.html,"North and South Campus345-6 Avenue SECalgary, Alberta T2G 4V1Canada",Certificate,info@bowvalleycollege.ca,,Unknown,University Graduate unknown level,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(403) 410-1400,1-866-428-2669
62,Campbell College Ltd.,Administrative Professional Diploma Program,"Edmonton, Alberta",http://www.campbellcollege.ca/training-helps-you-get-a-job,"Campbell College101 Stanley Building #2Edmonton, Alberta T5G 0X5Canada",Diploma,info@campbellcollege.ca,(780) 447-5902,Not entered,Not entered,College or CEGEP postsecondary program,(780) 448-1850,
63,Cypress College - Medicine Hat,Administrative technology,"Medicine, Alberta",http://www.cypresscollege.ca/programs.php,"Cypress College - Medicine Hat#3 7th St. SEMedicine Hat, Alberta T1A 1J2Canada",Diploma,admissions@cypresscollege.ca,(403) 526-4388,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(403) 527-4382,
64,University of Calgary ,Adult and Community Education (Certificate),"Calgary, Alberta",http://conted.ucalgary.ca/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=3049609,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Certificate,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Undergraduate level certificate or diploma,(403) 210-7625,
65,Northern Lakes College,Adult Basic Education,"Slave, Alberta",https://www.northernlakescollege.ca/programs-courses/programs#/programs/1228,"Northern Lakes College - Slave Lake Campus1201 Main Street SE     Slave Lake, Alberta T0G 2A0Canada",General Equivalency Diploma,,(780) 849-2570,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(780) 849-8600,
66,Medicine Hat College,Adult Basic Education (ABE),"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Adult%20Basic%20Education.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Declaration of academic achievement,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 529-3811,1-866-282-8394
67,Lakeland College,Adult Development,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/continuing-edu/programs-and-courses/adult-development/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Unknown,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
68,Lambton College of Applied Arts and Technology,Adult Education,"Sarnia, Ontario",http://www.lambtoncollege.ca/custom/LambtonApps/Programs/Part-Time.aspx?id=2147509082&type=CF,"Lambton College - Main Campus1457 London RoadSarnia, Ontario N7S 6K4Canada",Certificate,info@lambtoncollege.ca ,,Not entered,Not entered,University graduate level certificate/diploma,(519) 542-7751,
69,University of Calgary ,Adult Learning specializing in Adult and Community Education (Certificate),"Calgary, Alberta",http://conted.ucalgary.ca/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=13146396,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Certificate,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Undergraduate level certificate or diploma,(403) 210-7625,
70,University of Calgary ,Adult Learning specializing in Career and Academic Advising (Certificate),"Calgary, Alberta",http://conted.ucalgary.ca/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=13146695,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Certificate,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Undergraduate level certificate or diploma,(403) 210-7625,
71,University of Calgary ,Adult Learning specializing in e-Learning (Certificate),"Calgary, Alberta",http://conted.ucalgary.ca/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=13147051,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Certificate,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Undergraduate level certificate or diploma,(403) 210-7625,
72,University of Calgary ,Adult Learning specializing in Workplace Learning (Certificate),"Calgary, Alberta",http://conted.ucalgary.ca/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=13147933,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Undergraduate level certificate or diploma,(403) 210-7625,
73,Numa International Institute of Makeup and Design,Advanced Artistry,"Calgary, Alberta",http://niimd.com/site/diploma/essential-artistry/,"Numa International Institute of Makeup and Design6402 1A St SWCalgary, Alberta T2H 0G6Canada",Certificate,niimd.director@gmail.com,(866) 686-2857,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 455-6862,
74,Portage College,Advanced Care Paramedic,"Lac, Alberta",http://www.portagecollege.ca/Programs/Health-and-Wellness/Advanced-Care-Paramedic,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-866-623-5551
75,Aveda Institute,ADVANCED CERTIFICATE PROGRAM - CALGARY,"Calgary, Alberta",http://avedainstitute.ca/en/school/calgary,"Aveda Institute Calgary225 - 8th Avenue SWCalgary, Alberta T2P 1B7Canada",Certificate,info@avedainstitute.ca,,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 264-5070,
